ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
IWM,etf,USD,0.232793,-0.150828,-0.022757,-0.036274,1.0949,1.022735,0.872419,-0.32347,0.000445,15196778414018.092,0.232793,-0.150828,-0.022757,-0.036274,1.0949,1.022735,0.872419,-0.32347,0.000445,0.259491,0.924557,20260311
JNJ,us_stock,USD,0.19113,-0.156213,-0.01733,-0.031912,0.369782,0.335896,0.365938,-0.364794,0.000279,2909480790273.6514,0.19113,-0.156213,-0.01733,-0.031912,0.369782,0.335896,0.365938,-0.364794,0.000279,0.52146,2.316099,20260311
JPM,us_stock,USD,0.254473,-0.166465,-0.029002,-0.04317,0.932575,0.95528,0.648674,-0.193683,0.002874,4875702825110.146,0.254473,-0.166465,-0.029002,-0.04317,0.932575,0.95528,0.648674,-0.193683,0.002874,0.231265,0.732863,20260311
KO,us_stock,USD,0.180227,-0.127658,-0.015893,-0.025195,0.439144,0.449076,0.299324,-0.284008,-0.001187,1982803610009.3447,0.180227,-0.127658,-0.015893,-0.025195,0.439144,0.449076,0.299324,-0.284008,-0.001187,0.13641,0.559372,20260311
LQD,bond_etf,USD,0.116852,-0.087536,-0.00999,-0.017466,0.314209,0.259537,0.728772,-0.614989,-0.000323,5433906342373.109,0.116852,-0.087536,-0.00999,-0.017466,0.314209,0.259537,0.728772,-0.614989,-0.000323,0.071883,0.383819,20260311
MA,us_stock,USD,0.245751,-0.163104,-0.025875,-0.041151,0.943194,0.863503,0.450926,-0.324144,0.00256,2966162318349.2134,0.245751,-0.163104,-0.025875,-0.041151,0.943194,0.863503,0.450926,-0.324144,0.00256,-0.041419,-0.280178,20260311
META,us_stock,USD,0.434759,-0.24972,-0.03615,-0.054581,1.462455,1.463222,0.415511,-0.254288,-0.002264,14541991178166.998,0.434759,-0.24972,-0.03615,-0.054581,1.462455,1.463222,0.415511,-0.254288,-0.002264,0.061733,0.0798,20260311
MSFT,us_stock,USD,0.265381,-0.281582,-0.02588,-0.039256,1.100525,1.096528,0.389777,-0.147359,0.001466,21252342661549.227,0.265381,-0.281582,-0.02588,-0.039256,1.100525,1.096528,0.389777,-0.147359,0.001466,0.052467,0.08351,20260311
NVDA,us_stock,USD,0.516307,-0.230688,-0.03851,-0.055831,1.919332,1.809297,0.670944,-0.230142,0.000537,47446404649872.75,0.516307,-0.230688,-0.03851,-0.055831,1.919332,1.809297,0.670944,-0.230142,0.000537,0.660454,1.481457,20260311
PFE,us_stock,USD,0.263451,-0.190995,-0.030337,-0.038883,0.498063,0.51884,0.434155,-0.257227,0.000174,1793107716019.5374,0.263451,-0.190995,-0.030337,-0.038883,0.498063,0.51884,0.434155,-0.257227,0.000174,0.10338,0.260369,20260311
PG,us_stock,USD,0.194909,-0.201738,-0.020302,-0.031851,0.436426,0.467439,0.188112,-0.343908,-0.001922,2436886053145.7095,0.194909,-0.201738,-0.020302,-0.031851,0.436426,0.467439,0.188112,-0.343908,-0.001922,-0.077678,-0.511673,20260311
