ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
105560.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004102,high,-0.004102,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.004102
207940.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.074739,low,-0.074739,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,,beta_sp500_1y_krw=-0.074739
207940.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,negative,0.233229,low,-0.233229,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,,downside_beta_sp500_1y_krw=-0.233229
207940.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.438906,medium,-0.438906,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,,corr_sp500_60d_krw=-0.438906
207940.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.639677,high,0.639677,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,,corr_kospi200_60d_krw=0.639677
207940.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.001544,medium,-0.001544,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,,avg_stress_ret_krw=-0.001544
AAPL,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.20409,high,1.20409,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.20409
AAPL,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.252174,high,1.252174,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.252174
AAPL,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.601582,high,0.601582,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.601582
AAPL,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.390533,medium,-0.390533,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.390533
AAPL,us_stock,USD,stress_response,Stress-period average return,neutral,0.000211,low,0.000211,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.000211
AMZN,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.40007,high,1.40007,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.40007
AMZN,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.554171,high,1.554171,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.554171
AMZN,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.545025,medium,0.545025,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.545025
AMZN,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.267464,low,-0.267464,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.267464
AMZN,us_stock,USD,stress_response,Stress-period average return,positive,0.001419,low,0.001419,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.001419
AVGO,us_stock,USD,market_beta_sp500,S&P500 beta,positive,1.532589,high,1.532589,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.532589
AVGO,us_stock,USD,downside_beta_sp500,S&P500 downside beta,positive,1.527886,high,1.527886,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.527886
AVGO,us_stock,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.570224,medium,0.570224,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.570224
AVGO,us_stock,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.186229,low,-0.186229,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.186229
AVGO,us_stock,USD,stress_response,Stress-period average return,positive,0.001733,medium,0.001733,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.001733
BNB-USD,crypto,USD,market_beta_sp500,S&P500 beta,positive,1.048368,high,1.048368,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=1.048368
BNB-USD,crypto,USD,downside_beta_sp500,S&P500 downside beta,positive,1.06175,high,1.06175,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,usd_exposure,downside_beta_sp500_1y_krw=1.06175
BNB-USD,crypto,USD,corr_sp500_60d,S&P500 60d correlation,positive,0.579869,medium,0.579869,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,corr_sp500_60d_krw=0.579869
BNB-USD,crypto,USD,corr_kospi200_60d,KOSPI200 60d correlation,negative,0.174954,low,-0.174954,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,usd_exposure,corr_kospi200_60d_krw=-0.174954
BNB-USD,crypto,USD,stress_response,Stress-period average return,positive,0.009049,high,0.009049,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,usd_exposure,avg_stress_ret_krw=0.009049
BRK-B,us_stock,USD,market_beta_sp500,S&P500 beta,positive,0.725596,medium,0.725596,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,usd_exposure,beta_sp500_1y_krw=0.725596
