ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,corr_sp500_60d,corr_kospi200_60d,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,avg_stress_ret_krw,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
SHY,bond_etf,USD,0.097005,-0.088439,-0.008375,-0.017134,0.202908,0.191819,0.688757,-0.59696,0.000232,534241832039.15826,0.097005,-0.088439,-0.008375,-0.017134,0.202908,0.191819,0.688757,-0.59696,0.000232,0.052199,0.216162,20260311T191644822219-60e09191
SOL-USD,crypto,USD,0.889188,-0.673184,-0.062619,-0.089567,1.632155,1.351387,0.594147,-0.199078,0.013669,682304470331678.5,0.889188,-0.673184,-0.062619,-0.089567,1.632155,1.351387,0.594147,-0.199078,0.013669,-0.392054,-0.647892,20260311T191644822219-60e09191
SPY,etf,USD,0.180115,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.479111,0.00059,83400613186666.56,0.180115,-0.134191,-0.019522,-0.033182,1.0,1.0,1.0,-0.479111,0.00059,0.20441,0.850894,20260311T191644822219-60e09191
TIP,bond_etf,USD,0.107846,-0.092381,-0.008666,-0.017131,0.238353,0.21661,0.686735,-0.556895,-0.000452,425090893332.7804,0.107846,-0.092381,-0.008666,-0.017131,0.238353,0.21661,0.686735,-0.556895,-0.000452,0.064907,0.33227,20260311T191644822219-60e09191
TLT,bond_etf,USD,0.176216,-0.140377,-0.012721,-0.021271,0.200415,0.115228,0.585448,-0.539254,-0.000621,4971757111657.575,0.176216,-0.140377,-0.012721,-0.021271,0.200415,0.115228,0.585448,-0.539254,-0.000621,0.032506,0.018142,20260311T191644822219-60e09191
TSLA,us_stock,USD,0.597359,-0.234485,-0.051481,-0.079215,1.802684,1.780829,0.58866,-0.248136,-0.002338,41542680705616.664,0.597359,-0.234485,-0.051481,-0.079215,1.802684,1.780829,0.58866,-0.248136,-0.002338,0.538812,0.848624,20260311T191644822219-60e09191
UNH,us_stock,USD,0.324745,-0.617202,-0.036638,-0.0935,0.569733,0.528131,0.208169,-0.206191,-0.002529,3961688872679.656,0.324745,-0.617202,-0.036638,-0.0935,0.569733,0.528131,0.208169,-0.206191,-0.002529,-0.401872,-0.835059,20260311T191644822219-60e09191
USO,commodity_etf,USD,0.356086,-0.247877,-0.034279,-0.051382,0.515375,0.872925,0.144387,0.064178,-0.000878,1970411033369.56,0.356086,-0.247877,-0.034279,-0.051382,0.515375,0.872925,0.144387,0.064178,-0.000878,0.486685,1.196003,20260311T191644822219-60e09191
V,us_stock,USD,0.234909,-0.15573,-0.023687,-0.040254,0.877305,0.806006,0.494999,-0.3487,0.002397,3782824054427.0054,0.234909,-0.15573,-0.023687,-0.040254,0.877305,0.806006,0.494999,-0.3487,0.002397,-0.071242,-0.401472,20260311T191644822219-60e09191
VNQ,etf,USD,0.194644,-0.112439,-0.017037,-0.028654,0.768171,0.785347,0.641387,-0.384146,-0.000385,550766764460.1013,0.194644,-0.112439,-0.017037,-0.028654,0.768171,0.785347,0.641387,-0.384146,-0.000385,0.065914,0.202535,20260311T191644822219-60e09191
VTI,etf,USD,0.183262,-0.136095,-0.019902,-0.033237,1.01297,1.006519,0.997591,-0.464215,0.000579,3074804590112.8657,0.183262,-0.136095,-0.019902,-0.033237,1.01297,1.006519,0.997591,-0.464215,0.000579,0.206236,0.856711,20260311T191644822219-60e09191
VXUS,etf,USD,0.161632,-0.121369,-0.015169,-0.02706,0.739131,0.726522,0.838077,-0.314151,0.000349,1152710094668.3562,0.161632,-0.121369,-0.015169,-0.02706,0.739131,0.726522,0.838077,-0.314151,0.000349,0.296398,1.558733,20260311T191644822219-60e09191
XLE,etf,USD,0.275024,-0.199312,-0.025704,-0.044393,0.772289,0.992585,0.361676,0.008176,-0.001269,3906806842509.893,0.275024,-0.199312,-0.025704,-0.044393,0.772289,0.992585,0.361676,0.008176,-0.001269,0.330686,1.108596,20260311T191644822219-60e09191
XLP,etf,USD,0.157314,-0.091776,-0.015898,-0.025834,0.530593,0.540135,0.442199,-0.372735,-0.000975,2488623226120.116,0.157314,-0.091776,-0.015898,-0.025834,0.530593,0.540135,0.442199,-0.372735,-0.000975,0.075977,0.27168,20260311T191644822219-60e09191
XLU,etf,USD,0.184977,-0.079573,-0.018186,-0.027086,0.548642,0.532989,0.484881,-0.332219,-0.000268,1652371122214.9956,0.184977,-0.079573,-0.018186,-0.027086,0.548642,0.532989,0.484881,-0.332219,-0.000268,0.254623,1.292595,20260311T191644822219-60e09191
XLV,etf,USD,0.164592,-0.167088,-0.019557,-0.030056,0.65115,0.625551,0.647828,-0.529975,0.000689,2989320532229.1396,0.164592,-0.167088,-0.019557,-0.030056,0.65115,0.625551,0.647828,-0.529975,0.000689,0.056939,0.135502,20260311T191644822219-60e09191
XOM,us_stock,USD,0.281709,-0.204821,-0.02831,-0.042178,0.641751,0.830987,0.266648,0.02369,-0.001213,3978469470197.6655,0.281709,-0.204821,-0.02831,-0.042178,0.641751,0.830987,0.266648,0.02369,-0.001213,0.422887,1.437497,20260311T191644822219-60e09191
XRP-USD,crypto,USD,0.810878,-0.639381,-0.05217,-0.08237,1.173352,0.957208,0.536198,-0.055524,0.006641,7878669311810.293,0.810878,-0.639381,-0.05217,-0.08237,1.173352,0.957208,0.536198,-0.055524,0.006641,-0.328904,-0.55908,20260311T191644822219-60e09191
